index,Season,ID,overs,BattingTeam,total_run,isWicketDelivery
468,2012,548333,0,Delhi Daredevils,5,0
469,2012,548333,0,Pune Warriors,0,0
470,2012,548333,1,Delhi Daredevils,7,0
471,2012,548333,1,Pune Warriors,3,0
472,2012,548333,2,Delhi Daredevils,2,1
473,2012,548333,2,Pune Warriors,11,0
474,2012,548333,3,Delhi Daredevils,2,0
475,2012,548333,3,Pune Warriors,13,1
476,2012,548333,4,Delhi Daredevils,13,0
477,2012,548333,4,Pune Warriors,7,0
478,2012,548333,5,Delhi Daredevils,20,0
479,2012,548333,5,Pune Warriors,18,0
480,2012,548333,6,Delhi Daredevils,7,0
481,2012,548333,6,Pune Warriors,4,0
482,2012,548333,7,Delhi Daredevils,18,0
483,2012,548333,7,Pune Warriors,9,0
484,2012,548333,8,Delhi Daredevils,13,0
485,2012,548333,8,Pune Warriors,17,0
486,2012,548333,9,Delhi Daredevils,5,1
487,2012,548333,9,Pune Warriors,6,0
488,2012,548333,10,Delhi Daredevils,12,0
489,2012,548333,10,Pune Warriors,3,0
490,2012,548333,11,Delhi Daredevils,10,1
491,2012,548333,11,Pune Warriors,13,0
492,2012,548333,12,Delhi Daredevils,6,1
493,2012,548333,12,Pune Warriors,10,0
494,2012,548333,13,Delhi Daredevils,5,1
495,2012,548333,13,Pune Warriors,4,0
496,2012,548333,14,Delhi Daredevils,6,0
497,2012,548333,14,Pune Warriors,7,1
498,2012,548333,15,Delhi Daredevils,8,0
499,2012,548333,15,Pune Warriors,11,0
500,2012,548333,16,Delhi Daredevils,3,0
501,2012,548333,16,Pune Warriors,12,0
502,2012,548333,17,Delhi Daredevils,10,1
503,2012,548333,17,Pune Warriors,23,0
504,2012,548333,18,Delhi Daredevils,15,0
505,2012,548333,18,Pune Warriors,9,0
506,2012,548333,19,Delhi Daredevils,5,1
507,2012,548333,19,Pune Warriors,12,1
508,2012,548334,0,Kings XI Punjab,10,0
509,2012,548334,0,Mumbai Indians,0,0
510,2012,548334,1,Kings XI Punjab,6,0
511,2012,548334,1,Mumbai Indians,3,0
512,2012,548334,2,Kings XI Punjab,10,0
513,2012,548334,2,Mumbai Indians,8,0
514,2012,548334,3,Kings XI Punjab,6,0
515,2012,548334,3,Mumbai Indians,11,0
516,2012,548334,4,Kings XI Punjab,10,0
517,2012,548334,4,Mumbai Indians,6,0
