index,Season,ID,overs,BattingTeam,total_run,isWicketDelivery,BowlingTeam
357,2012,548330,4,Pune Warriors,9,0,Chennai Super Kings
358,2012,548330,5,Chennai Super Kings,14,0,Pune Warriors
359,2012,548330,5,Pune Warriors,18,0,Chennai Super Kings
360,2012,548330,6,Chennai Super Kings,1,0,Pune Warriors
361,2012,548330,6,Pune Warriors,2,1,Chennai Super Kings
362,2012,548330,7,Chennai Super Kings,12,0,Pune Warriors
363,2012,548330,7,Pune Warriors,4,0,Chennai Super Kings
364,2012,548330,8,Chennai Super Kings,9,0,Pune Warriors
365,2012,548330,8,Pune Warriors,2,0,Chennai Super Kings
366,2012,548330,9,Chennai Super Kings,4,0,Pune Warriors
367,2012,548330,9,Pune Warriors,4,1,Chennai Super Kings
368,2012,548330,10,Chennai Super Kings,6,0,Pune Warriors
369,2012,548330,10,Pune Warriors,7,0,Chennai Super Kings
370,2012,548330,11,Chennai Super Kings,9,0,Pune Warriors
371,2012,548330,11,Pune Warriors,13,0,Chennai Super Kings
372,2012,548330,12,Chennai Super Kings,6,0,Pune Warriors
373,2012,548330,12,Pune Warriors,11,0,Chennai Super Kings
374,2012,548330,13,Chennai Super Kings,11,0,Pune Warriors
375,2012,548330,13,Pune Warriors,4,1,Chennai Super Kings
376,2012,548330,14,Chennai Super Kings,15,0,Pune Warriors
377,2012,548330,14,Pune Warriors,7,0,Chennai Super Kings
378,2012,548330,15,Chennai Super Kings,1,2,Pune Warriors
379,2012,548330,15,Pune Warriors,17,0,Chennai Super Kings
380,2012,548330,16,Chennai Super Kings,9,1,Pune Warriors
381,2012,548330,16,Pune Warriors,6,0,Chennai Super Kings
382,2012,548330,17,Chennai Super Kings,12,0,Pune Warriors
383,2012,548330,17,Pune Warriors,10,0,Chennai Super Kings
384,2012,548330,18,Chennai Super Kings,9,1,Pune Warriors
385,2012,548330,18,Pune Warriors,4,1,Chennai Super Kings
386,2012,548330,19,Chennai Super Kings,18,1,Pune Warriors
387,2012,548330,19,Pune Warriors,7,1,Chennai Super Kings
388,2012,548331,0,Kings XI Punjab,3,0,Royal Challengers Bangalore
389,2012,548331,0,Royal Challengers Bangalore,3,0,Kings XI Punjab
390,2012,548331,1,Kings XI Punjab,7,0,Royal Challengers Bangalore
391,2012,548331,1,Royal Challengers Bangalore,5,2,Kings XI Punjab
392,2012,548331,2,Kings XI Punjab,5,1,Royal Challengers Bangalore
393,2012,548331,2,Royal Challengers Bangalore,9,0,Kings XI Punjab
394,2012,548331,3,Kings XI Punjab,5,0,Royal Challengers Bangalore
395,2012,548331,3,Royal Challengers Bangalore,1,0,Kings XI Punjab
396,2012,548331,4,Kings XI Punjab,7,1,Royal Challengers Bangalore
397,2012,548331,4,Royal Challengers Bangalore,7,0,Kings XI Punjab
398,2012,548331,5,Kings XI Punjab,14,0,Royal Challengers Bangalore
399,2012,548331,5,Royal Challengers Bangalore,11,1,Kings XI Punjab
400,2012,548331,6,Kings XI Punjab,10,0,Royal Challengers Bangalore
401,2012,548331,6,Royal Challengers Bangalore,3,0,Kings XI Punjab
402,2012,548331,7,Kings XI Punjab,6,0,Royal Challengers Bangalore
403,2012,548331,7,Royal Challengers Bangalore,9,0,Kings XI Punjab
