Season,ID,overs,BattingTeam,total_run
2012,548332,1,Chennai Super Kings,12
2012,548332,1,Rajasthan Royals,8
2012,548332,2,Chennai Super Kings,9
2012,548332,2,Rajasthan Royals,6
2012,548332,3,Chennai Super Kings,6
2012,548332,3,Rajasthan Royals,15
2012,548332,4,Chennai Super Kings,11
2012,548332,4,Rajasthan Royals,2
2012,548332,5,Chennai Super Kings,5
2012,548332,5,Rajasthan Royals,5
2012,548332,6,Chennai Super Kings,8
2012,548332,6,Rajasthan Royals,2
2012,548332,7,Chennai Super Kings,4
2012,548332,7,Rajasthan Royals,7
2012,548332,8,Chennai Super Kings,9
2012,548332,8,Rajasthan Royals,6
2012,548332,9,Chennai Super Kings,4
2012,548332,9,Rajasthan Royals,6
2012,548332,10,Chennai Super Kings,6
2012,548332,10,Rajasthan Royals,9
2012,548332,11,Chennai Super Kings,7
2012,548332,11,Rajasthan Royals,5
2012,548332,12,Chennai Super Kings,5
2012,548332,12,Rajasthan Royals,5
2012,548332,13,Chennai Super Kings,5
2012,548332,13,Rajasthan Royals,4
2012,548332,14,Chennai Super Kings,11
2012,548332,14,Rajasthan Royals,22
2012,548332,15,Chennai Super Kings,12
2012,548332,15,Rajasthan Royals,9
2012,548332,16,Chennai Super Kings,2
2012,548332,16,Rajasthan Royals,13
2012,548332,17,Chennai Super Kings,13
2012,548332,17,Rajasthan Royals,4
2012,548332,18,Chennai Super Kings,8
2012,548332,18,Rajasthan Royals,9
2012,548332,19,Chennai Super Kings,8
2012,548332,19,Rajasthan Royals,4
2012,548333,0,Delhi Daredevils,5
2012,548333,0,Pune Warriors,0
2012,548333,1,Delhi Daredevils,7
2012,548333,1,Pune Warriors,3
2012,548333,2,Delhi Daredevils,2
2012,548333,2,Pune Warriors,11
2012,548333,3,Delhi Daredevils,2
2012,548333,3,Pune Warriors,13
2012,548333,4,Delhi Daredevils,13
2012,548333,4,Pune Warriors,7
2012,548333,5,Delhi Daredevils,20
2012,548333,5,Pune Warriors,18
2012,548333,6,Delhi Daredevils,7
2012,548333,6,Pune Warriors,4
2012,548333,7,Delhi Daredevils,18
2012,548333,7,Pune Warriors,9
2012,548333,8,Delhi Daredevils,13
2012,548333,8,Pune Warriors,17
2012,548333,9,Delhi Daredevils,5
2012,548333,9,Pune Warriors,6
2012,548333,10,Delhi Daredevils,12
2012,548333,10,Pune Warriors,3
2012,548333,11,Delhi Daredevils,10
2012,548333,11,Pune Warriors,13
2012,548333,12,Delhi Daredevils,6
2012,548333,12,Pune Warriors,10
2012,548333,13,Delhi Daredevils,5
2012,548333,13,Pune Warriors,4
2012,548333,14,Delhi Daredevils,6
2012,548333,14,Pune Warriors,7
2012,548333,15,Delhi Daredevils,8
2012,548333,15,Pune Warriors,11
2012,548333,16,Delhi Daredevils,3
2012,548333,16,Pune Warriors,12
2012,548333,17,Delhi Daredevils,10
2012,548333,17,Pune Warriors,23
2012,548333,18,Delhi Daredevils,15
2012,548333,18,Pune Warriors,9
2012,548333,19,Delhi Daredevils,5
2012,548333,19,Pune Warriors,12
2012,548334,0,Kings XI Punjab,10
2012,548334,0,Mumbai Indians,0
2012,548334,1,Kings XI Punjab,6
2012,548334,1,Mumbai Indians,3
2012,548334,2,Kings XI Punjab,10
2012,548334,2,Mumbai Indians,8
2012,548334,3,Kings XI Punjab,6
2012,548334,3,Mumbai Indians,11
2012,548334,4,Kings XI Punjab,10
2012,548334,4,Mumbai Indians,6
2012,548334,5,Kings XI Punjab,6
2012,548334,5,Mumbai Indians,11
2012,548334,6,Kings XI Punjab,4
2012,548334,6,Mumbai Indians,3
2012,548334,7,Kings XI Punjab,7
2012,548334,7,Mumbai Indians,8
2012,548334,8,Kings XI Punjab,2
2012,548334,8,Mumbai Indians,6
2012,548334,9,Kings XI Punjab,14
2012,548334,9,Mumbai Indians,2
2012,548334,10,Kings XI Punjab,5
2012,548334,10,Mumbai Indians,7
2012,548334,11,Kings XI Punjab,6
2012,548334,11,Mumbai Indians,19
2012,548334,12,Kings XI Punjab,10
2012,548334,12,Mumbai Indians,12
2012,548334,13,Kings XI Punjab,7
2012,548334,13,Mumbai Indians,12
2012,548334,14,Kings XI Punjab,16
2012,548334,14,Mumbai Indians,21
2012,548334,15,Kings XI Punjab,1
2012,548334,15,Mumbai Indians,3
2012,548334,16,Kings XI Punjab,10
2012,548334,16,Mumbai Indians,8
2012,548334,17,Kings XI Punjab,14
2012,548334,17,Mumbai Indians,6
2012,548334,18,Kings XI Punjab,11
2012,548334,18,Mumbai Indians,8
2012,548334,19,Kings XI Punjab,9
2012,548334,19,Mumbai Indians,9
2012,548335,0,Deccan Chargers,6
2012,548335,0,Kolkata Knight Riders,5
2012,548335,1,Deccan Chargers,2
2012,548335,1,Kolkata Knight Riders,4
2012,548335,2,Deccan Chargers,13
2012,548335,2,Kolkata Knight Riders,8
2012,548335,3,Deccan Chargers,9
2012,548335,3,Kolkata Knight Riders,9
2012,548335,4,Deccan Chargers,5
2012,548335,4,Kolkata Knight Riders,6
2012,548335,5,Deccan Chargers,4
2012,548335,5,Kolkata Knight Riders,10
2012,548335,6,Deccan Chargers,9
2012,548335,6,Kolkata Knight Riders,2
2012,548335,7,Deccan Chargers,5
2012,548335,7,Kolkata Knight Riders,8
2012,548335,8,Deccan Chargers,8
2012,548335,8,Kolkata Knight Riders,6
2012,548335,9,Deccan Chargers,6
2012,548335,9,Kolkata Knight Riders,7
2012,548335,10,Deccan Chargers,9
2012,548335,10,Kolkata Knight Riders,8
2012,548335,11,Deccan Chargers,8
2012,548335,11,Kolkata Knight Riders,5
2012,548335,12,Deccan Chargers,3
2012,548335,12,Kolkata Knight Riders,3
2012,548335,13,Deccan Chargers,8
2012,548335,13,Kolkata Knight Riders,9
2012,548335,14,Deccan Chargers,3
2012,548335,14,Kolkata Knight Riders,7
2012,548335,15,Deccan Chargers,4
2012,548335,15,Kolkata Knight Riders,4
2012,548335,16,Deccan Chargers,1
2012,548335,16,Kolkata Knight Riders,6
2012,548335,17,Deccan Chargers,8
2012,548335,17,Kolkata Knight Riders,9
2012,548335,18,Deccan Chargers,4
2012,548335,18,Kolkata Knight Riders,10
2012,548335,19,Deccan Chargers,11
2012,548335,19,Kolkata Knight Riders,1
2012,548336,0,Rajasthan Royals,8
2012,548336,0,Royal Challengers Bangalore,5
2012,548336,1,Rajasthan Royals,10
2012,548336,1,Royal Challengers Bangalore,10
2012,548336,2,Rajasthan Royals,7
2012,548336,2,Royal Challengers Bangalore,8
2012,548336,3,Rajasthan Royals,6
2012,548336,3,Royal Challengers Bangalore,2
2012,548336,4,Rajasthan Royals,4
2012,548336,4,Royal Challengers Bangalore,2
2012,548336,5,Rajasthan Royals,13
2012,548336,5,Royal Challengers Bangalore,10
2012,548336,6,Rajasthan Royals,8
2012,548336,6,Royal Challengers Bangalore,3
2012,548336,7,Rajasthan Royals,1
2012,548336,7,Royal Challengers Bangalore,10
2012,548336,8,Rajasthan Royals,2
2012,548336,8,Royal Challengers Bangalore,7
2012,548336,9,Rajasthan Royals,8
2012,548336,9,Royal Challengers Bangalore,5
2012,548336,10,Rajasthan Royals,13
2012,548336,10,Royal Challengers Bangalore,2
2012,548336,11,Rajasthan Royals,8
2012,548336,11,Royal Challengers Bangalore,11
2012,548336,12,Rajasthan Royals,3
2012,548336,12,Royal Challengers Bangalore,14
2012,548336,13,Rajasthan Royals,2
2012,548336,13,Royal Challengers Bangalore,10
2012,548336,14,Rajasthan Royals,10
2012,548336,14,Royal Challengers Bangalore,8
2012,548336,15,Rajasthan Royals,7
2012,548336,15,Royal Challengers Bangalore,15
2012,548336,16,Rajasthan Royals,11
2012,548336,16,Royal Challengers Bangalore,14
2012,548336,17,Rajasthan Royals,9
2012,548336,17,Royal Challengers Bangalore,17
2012,548336,18,Rajasthan Royals,5
2012,548336,18,Royal Challengers Bangalore,21
2012,548336,19,Rajasthan Royals,8
2012,548336,19,Royal Challengers Bangalore,15
2012,548337,0,Delhi Daredevils,8
2012,548337,0,Pune Warriors,1
2012,548337,1,Delhi Daredevils,7
2012,548337,1,Pune Warriors,1
2012,548337,2,Delhi Daredevils,7
2012,548337,2,Pune Warriors,5
2012,548337,3,Delhi Daredevils,12
2012,548337,3,Pune Warriors,7
2012,548337,4,Delhi Daredevils,12
2012,548337,4,Pune Warriors,4
2012,548337,5,Delhi Daredevils,15
2012,548337,5,Pune Warriors,10
2012,548337,6,Delhi Daredevils,12
2012,548337,6,Pune Warriors,11
2012,548337,7,Delhi Daredevils,4
2012,548337,7,Pune Warriors,3
2012,548337,8,Delhi Daredevils,13
2012,548337,8,Pune Warriors,4
2012,548337,9,Delhi Daredevils,9
2012,548337,9,Pune Warriors,4
2012,548337,10,Delhi Daredevils,12
2012,548337,10,Pune Warriors,3
2012,548337,11,Delhi Daredevils,4
2012,548337,11,Pune Warriors,8
2012,548337,12,Delhi Daredevils,9
2012,548337,12,Pune Warriors,13
2012,548337,13,Delhi Daredevils,6
2012,548337,13,Pune Warriors,7
2012,548337,14,Delhi Daredevils,4
2012,548337,14,Pune Warriors,14
2012,548337,15,Delhi Daredevils,14
2012,548337,15,Pune Warriors,4
2012,548337,16,Pune Warriors,11
2012,548337,17,Pune Warriors,13
2012,548337,18,Pune Warriors,9
2012,548337,19,Pune Warriors,14
2012,548339,0,Kings XI Punjab,3
2012,548339,0,Mumbai Indians,4
2012,548339,1,Kings XI Punjab,6
2012,548339,1,Mumbai Indians,8
2012,548339,2,Kings XI Punjab,14
2012,548339,2,Mumbai Indians,7
2012,548339,3,Kings XI Punjab,3
2012,548339,3,Mumbai Indians,7
2012,548339,4,Kings XI Punjab,9
2012,548339,4,Mumbai Indians,3
2012,548339,5,Kings XI Punjab,9
2012,548339,5,Mumbai Indians,11
2012,548339,6,Kings XI Punjab,0
2012,548339,6,Mumbai Indians,5
2012,548339,7,Kings XI Punjab,2
2012,548339,7,Mumbai Indians,7
2012,548339,8,Kings XI Punjab,7
2012,548339,8,Mumbai Indians,7
2012,548339,9,Kings XI Punjab,3
2012,548339,9,Mumbai Indians,5
2012,548339,10,Kings XI Punjab,11
2012,548339,10,Mumbai Indians,2
2012,548339,11,Kings XI Punjab,8
2012,548339,11,Mumbai Indians,5
2012,548339,12,Kings XI Punjab,5
2012,548339,12,Mumbai Indians,12
2012,548339,13,Kings XI Punjab,11
2012,548339,13,Mumbai Indians,14
2012,548339,14,Kings XI Punjab,9
2012,548339,14,Mumbai Indians,9
